X,Y,ID,Case_Number,Address,Occurred_Date,Occurred_Month,Occurred_Year,Crime_Type,Multiple_Shooting,Gender,Race,Ethnicity,Victim_Age,Victim_Age_Band,Latitude,Longitude,ObjectId
-77.628745381,43.168421187,e0465218d95d9e000d941602197b9911,20-138101,890 N Plymouth Ave,2020/06/25 04:00:00+00,6,2020,Shooting,No,M,BLACK,NON HISPANIC,36,25-44,43.168421187,-77.628745381,71
-77.640915335,43.1527942220001,529435f385748714e3b1e4911921023b,20-138655,124 Colvin St,2020/06/25 04:00:00+00,6,2020,Shooting,No,M,BLACK,NON HISPANIC,22,15-24,43.1527942220001,-77.640915335,72
-77.6295176689999,43.1682043870001,69036632767c3f1fd4308b857bd7dae9,20-134034,45 Lorimer St,2020/06/21 04:00:00+00,6,2020,Shooting,No,M,BLACK,NON HISPANIC,43,25-44,43.1682043870001,-77.6295176689999,73
-77.5941098069999,43.177207906,13143e708669c17ce87758640709e9ed,20-131373,421 Bernard St,2020/06/19 04:00:00+00,6,2020,Homicide,No,M,BLACK,NON HISPANIC,23,15-24,43.177207906,-77.5941098069999,74
-77.613499829,43.181877528,028803351a1596aecccecab3d37a94f3,20-131413,1226 N Clinton,2020/06/19 04:00:00+00,6,2020,Homicide,No,M,BLACK,NON HISPANIC,17,15-24,43.181877528,-77.613499829,75
-77.620069249,43.140477037,29315bfef5492ea152d905f3092e9f4d,20-131466,38 Violetta St,2020/06/19 04:00:00+00,6,2020,Shooting,No,M,BLACK,NON HISPANIC,37,25-44,43.140477037,-77.620069249,76
-77.632725361,43.19456115,57aa23f37495ce7d4a024dceeb80855f,20-131765,31 Bardin St,2020/06/19 04:00:00+00,6,2020,Homicide,No,M,BLACK,NON HISPANIC,31,25-44,43.19456115,-77.632725361,77
-77.634862217,43.1377363890001,28c52c3c05a2b00294ee9e77ba567d68,20-131780,439 Magnolia St,2020/06/19 04:00:00+00,6,2020,Shooting,No,M,BLACK,NON HISPANIC,19,15-24,43.1377363890001,-77.634862217,78
-77.613165268,43.175709784,37598575f43606a426e9921097ccc6f8,20-128632,928 N Clinton,2020/06/16 04:00:00+00,6,2020,Shooting,No,M,BLACK,NON HISPANIC,29,25-44,43.175709784,-77.613165268,79
-77.642126619,43.1316429520001,2b01c35caba344a466d97b1a6f5ad6e4,20-127880,85 Evangeline St,2020/06/15 04:00:00+00,6,2020,Shooting,No,M,BLACK,NON HISPANIC,18,15-24,43.1316429520001,-77.642126619,80
-77.6383887819999,43.164821655,fa3784bb24d1958828e1bbe48cfa689b,20-127932,444 Lyell Ave,2020/06/15 04:00:00+00,6,2020,Shooting,No,M,BLACK,NON HISPANIC,20,15-24,43.164821655,-77.6383887819999,81
-77.655325417,43.164999268,1c7b2370dfad5eda2b441779705d5c7a,20-126473,1140 Lyell Ave,2020/06/14 04:00:00+00,6,2020,Shooting,No,M,BLACK,NON HISPANIC,35,25-44,43.164999268,-77.655325417,82
-77.61290646,43.18989974,30d11c2a7c472cf10482485dff894ba3,20-126586,1616 N Clinton Ave,2020/06/14 04:00:00+00,6,2020,Homicide,No,M,BLACK,NON HISPANIC,35,25-44,43.18989974,-77.61290646,83
-77.596586999,43.1807449670001,bccbf1e686449bca31fe165283d8c5cb,20-127131,975 Ave D,2020/06/14 04:00:00+00,6,2020,Shooting,No,M,WHITE,HISPANIC,31,25-44,43.1807449670001,-77.596586999,84
-77.609587431,43.177365669,ab596c1bdc35f5ae2924b72a5c29ac4c,20-125431,18 Langham St,2020/06/13 04:00:00+00,6,2020,Shooting,Yes,M,BLACK,NON HISPANIC,30,25-44,43.177365669,-77.609587431,85
-77.609587431,43.177365669,8198a2b89bb2fe49384bec702fd9d0a7,20-125431,18 Langham St,2020/06/13 04:00:00+00,6,2020,Shooting,Yes,F,WHITE,NON HISPANIC,27,25-44,43.177365669,-77.609587431,86
-77.5848014869999,43.1735242,6fa3797947d1103f16f5f1c4026ed61f,20-124362,11 Coleman Ter,2020/06/11 04:00:00+00,6,2020,Shooting,Yes,M,WHITE,HISPANIC,17,15-24,43.1735242,-77.5848014869999,87
-77.5848014869999,43.1735242,7b5e2c566a7f1f3d8dd7434fa2e5c82f,20-124362,11 Coleman Ter,2020/06/11 04:00:00+00,6,2020,Shooting,Yes,M,WHITE,NON HISPANIC,18,15-24,43.1735242,-77.5848014869999,88
-77.5705955339999,43.167931287,b329875650d788f4cb13d4694e3c421b,20-121950,161 Rosewood Ter,2020/06/09 04:00:00+00,6,2020,Shooting,Yes,M,BLACK,NON HISPANIC,21,15-24,43.167931287,-77.5705955339999,89
-77.5705955339999,43.167931287,e8a59c55b703f6678c06bc9147f76f8a,20-121950,161 Rosewood Ter,2020/06/09 04:00:00+00,6,2020,Shooting,Yes,M,BLACK,NON HISPANIC,23,15-24,43.167931287,-77.5705955339999,90
-77.622219555,43.175734065,cf183bbd18883a319d7e45e107b31b90,20-122063,106 Huntington Pk,2020/06/09 04:00:00+00,6,2020,Shooting,No,M,BLACK,NON HISPANIC,27,25-44,43.175734065,-77.622219555,91
-77.640432431,43.1735483780001,bf4f83368d662c27a3784ab28ebfb83f,20-122522,475 Sherman St,2020/06/09 04:00:00+00,6,2020,Shooting,No,M,BLACK,NON HISPANIC,25,25-44,43.1735483780001,-77.640432431,92
-77.649692376,43.1381207480001,1b893d8808b7d0670aaabe09ff10044b,20-121165,148 Milton St,2020/06/08 04:00:00+00,6,2020,Shooting,No,F,BLACK,NON HISPANIC,44,25-44,43.1381207480001,-77.649692376,93
-77.632198901,43.180568511,c97a575ec24580d14b0105bad4d439cc,20-121667,837 Lake Ave,2020/06/08 04:00:00+00,6,2020,Homicide,Yes,M,WHITE,HISPANIC,22,15-24,43.180568511,-77.632198901,94
-77.632198901,43.180568511,4612084737065541aab04710348ef06a,20-121667,837 Lake Ave,2020/06/08 04:00:00+00,6,2020,Shooting,Yes,M,WHITE,HISPANIC,35,25-44,43.180568511,-77.632198901,95
-77.618563724,43.1746349970001,614b11a1b0af8bdbbe8667bc5d1ca192,20-120692,201 Clifford Ave,2020/06/07 04:00:00+00,6,2020,Shooting,No,M,BLACK,NON HISPANIC,22,15-24,43.1746349970001,-77.618563724,96
-77.639109379,43.1796174190001,cc73ff0ff9d72e63a5c1b8bff789867c,20-119177,780 Dewey Ave,2020/06/06 04:00:00+00,6,2020,Shooting,No,F,BLACK,NON HISPANIC,16,15-24,43.1796174190001,-77.639109379,97
-77.6322358039999,43.1528554110001,b1b9f660f37c64da59c1947260ee00d5,20-117887,641 Brown St,2020/06/04 04:00:00+00,6,2020,Shooting,No,M,WHITE,HISPANIC,31,25-44,43.1528554110001,-77.6322358039999,98
-77.6511901329999,43.1685885590001,16b9c308423e4c35a23ecc07c3863e55,20-116474,190 McNaughton St,2020/06/03 04:00:00+00,6,2020,Shooting,No,M,BLACK,NON HISPANIC,39,25-44,43.1685885590001,-77.6511901329999,99
-77.581074798,43.167749987,1eaa9c14754053694676ecb2f14b8a2c,20-117314,22 7th St,2020/06/03 04:00:00+00,6,2020,Shooting,No,M,BLACK,NON HISPANIC,29,25-44,43.167749987,-77.581074798,100
-77.641387723,43.1771213210001,39cf77d872a7f40372dab5b85cf4c4fb,21-047055,426 Glenwood Ave,2021/03/14 05:00:00+00,3,2021,Homicide,No,M,WHITE,HISPANIC,23,15-24,43.1771213210001,-77.641387723,101
-77.638617787,43.192588695,ced4b0a2fe5f5b98fa0feedc02ad1872,21-045758,497 Flower City Park,2021/03/13 05:00:00+00,3,2021,Shooting,No,M,BLACK,NON HISPANIC,30,25-44,43.192588695,-77.638617787,102
-77.63130083,43.1351019800001,0ecda6dbcb951675045b58f8ac763db2,21-044617,709 Seward St,2021/03/11 05:00:00+00,3,2021,Shooting,No,M,BLACK,NON HISPANIC,19,15-24,43.1351019800001,-77.63130083,103
